job,description
Business Intelligence Director,"Business intelligence directors are responsible for leading design and development activities related to enterprise data warehouses solutions for their organization. They are in charge of providing leadership for other business intelligence developers, architects, and professionals. They participate in business meetings to suggest changes and ideas for intelligence processes. They mentor junior staff and assist with training sessions as well. One of the director's main responsibilities include designing appropriate delivery systems based on project requirements. They use a personal computer to analyze business intelligence information and implement solutions.  Business intelligence directors work with internal and external information technology (IT) partners to reach all company goals in a timely manner. They help increase company profitability by using tactical recommendations based on effective analysis. They provide technical support to enterprise clients by researching intelligence and adapting to the client needs. Business intelligence directors also give progress updates to company executives and clients, as well as conduct performance reviews of product and services launches. They integrate corporate reporting by extracting data from a variety of sources as well.  This position generally requires a bachelor's degree in computer science, business analysis, finance, or a related field. In addition, previous work experience in a similar capacity is necessary. Industry certifications may be required or preferred. Business intelligence directors must be proficient with several computer programming languages, as well as have advanced database and data warehouse skills. These directors must be analytical individuals that pay strong attention to detail, as well as have strong organization skills to multitask in a variety of projects.   Read less"
Business Intelligence Specialist,"Business intelligence specialists are in charge of assisting businesses with intelligence and information technology solutions to improve operations and overall profitability. These professionals help information technology professionals solve request tickets and analyze a variety of metrics in different projects.  One of their main responsibilities is processing analytics using a variety of software tools. This information is then read by other specialists. These specialists also write detailed reports based on the business data found. In addition, these specialists share important project data that can improve productivity and report their progress to the business intelligence manager in their department. Some other responsibilities include facilitating information gathering sessions and keeping accurate technical and business documentation. These professionals manage and analyze data structure and quality on a regular basis to make business decisions.  They possess strong analytical and problem solving skills to come up with efficient ways to solve business intelligence obstacles. Business intelligence specialists can work in a team environment to reach all company and client goals. These professionals have self-start capabilities and need minimal supervision to conduct their tasks. In addition, these professionals have to gather business requirements for customer projects. They are proficient with spreadsheets and database software to conduct troubleshooting activities. These specialists create news ways to relay information to clients in a more effective way. Business intelligence specialists actively participate in business meetings to suggest innovative manners to make business processes more efficient. They help train end users and clients to become familiar with new technology and applications. A bachelor's degree in business intelligence, computer science, or a related field is necessary for this job. Previous years of work experience in an specialist capacity can be helpful. Industry certifications are a plus.  Read less"
Business Systems Administrator,"A business systems administrator develops technical research for innovative goals related to hardware, software, and other aspects related to infrastructure. They help ensure that system hardware, operating systems, and software systems adhere to the policies of the company. This position involves working with information technology (IT) professionals in collaborating on the implementation of technical needs and requirements. Business systems administrators also collaborate with business staff to ensure organizational goals are met in a timely and efficient manner.  Essential duties in this position include completing daily monitoring- and security-related tasks to prevent and detect any intrusions to the systems. They are also in charge of completing daily backup operations to prevent the loss of data, performing ongoing upgrades to the systems, documenting system installations, and performing regular file archival and purges as necessary. Additionally, business system administrators install new (or rebuild existing) servers to meet information technology (IT) requirements, as well as repair and recover hardware and software failures in the system.  Business systems administrator positions generally require at least a bachelor's degree in engineering, computer science, or a related field. These individuals also needs to be certified in Linux or Microsoft, and have zero to three years in system administration experience. Additionally, they often must be able to work nights and weekends with little notice.  Read less"
Business Systems Analyst,"Business systems analysts are responsible for the analysis, adjustment and restructuring of different aspects of a business. It is a business systems analyst's responsibility to ensure that a business’s structure is meeting top output efficiency. Business system analysts work closely with individuals at all levels of employment to see what is and isn't working in the most efficient manner possible. They are responsible for interacting with and addressing employees at all levels in a professional manner while providing constructive criticism that is conducive to the restructuring of current systems. Travel may be required in order to gain a more intimate understanding of current methods of conducting business. Business systems analysts are responsible for identifying and addressing current and future business needs within the realms of currently accessible resources. They are responsible for advising on the allocation of resources in such a way that minimizes waste and maximizes efficient use and profitability.  Most work for business systems analysts is done off site and requires little to no physical activity beyond walking, standing, driving and talking. Their positions are ongoing requiring multiple follow ups on completed work and flexible availability for future consultation. Business systems analysts must have a functional understanding of software systems and at least fundamental understanding of software coding. They must be completely proficient in Microsoft Office and have interpersonal communication skills. Business system analysts must be prepared to address any concerns that arise during any restructuring of existing systems and adequately explain advantages and disadvantages to any stem changes made under their supervision.  Read less"
Business Technology Analyst,"Business technology analysts work with a business to assist in technology integration. This includes overseeing a company's current information technology (IT) systems to ensure that the company's technology-related goals are met. Their tasks may also include implementation of new IT systems; in these cases, business technology analysts must ensure that daily business is disrupted as little as possible. Business technology analysts are expected to work with, and improve upon, current systems while taking budgetary concerns into consideration. They must have the knowledge to suggest more cost-effective software and web-based applications when appropriate., and they should adhere to a company's procedures and policies at all times. Business technology analysts generally work in a team under senior analysts and/or managers. They should be able to work independently and escalate issues when appropriate, as well as be able to compile, analyze and aggregate data. Additionally, these analysts train users and run both user and system tests.  Business technology analysts are required to hold at least a high school diploma or equivalent, as well as a bachelor's degree (or equivalent job experience) and experience in IT systems. This job often takes place in an office setting during regular business hours, though business technology analysts may have on-call duties assigned to them. As this job is computer-based, analysts must be able to work at a computer for long periods of time.  Read less"
C%23 Developer,"C# developers work with C# technology in an application development role within a company. Often, this includes tasks such as the development or emplacement of software platforms within a company’s internal software architecture, the development of web portals, and similar efforts. C# developers work in a variety of settings for many types of employers; however, no matter the particular position, all C# developers tend to share many job duties.  C# developers often work as a part of a multidisciplinary workgroup to build, provide maintenance for, and support server-client and web-based applications that use C#, Microsoft .NET framework, ASP.NET framework, SQL, and other technology. Most C# developers are part of the entire development cycle of a particular application, from formulation through implementation and ongoing support. In addition, C# developers are usually expected to provide maintenance for applications put in place by previous generations of developers. Specific technical responsibilities include development tasks such as coding, testing, designing, and analyzing applications. Similar tasks include stress testing, routine testing, code reviews, and similar activities. Further, C# developers are responsible for moving projects through their various development phases, meeting deadlines, interfacing with non-technical staff to address application needs, and conceptualizing applications to meet business needs. Most employers require their C# developers to hold a bachelor’s degree in computer science in addition to two or more years in related software and database development. Though C# work normal business hours, they must be willing to work overtime as projects near deadlines. They must be analytically minded, team players, good communicators, and work well under stress.  Read less"
C%2B%2B Developer,"C++ developers are responsible for developing effective programs and applications using the C++ computer programming language. They write efficient code using a variety of programming methods. They also share important code milestones with other developers and generally report their progress to the development manager in their team.  One of the C++ developer's main functions includes creating executable programs that facilitate organizational operations. They also modify existing code to meet project requirements. Additionally, C++ developers are in charge of managing scripts to identify running and memory consumption issues, as well as working as part of a team to create software programs based on task capabilities and tools. They must stay up to date on new technology and user interface solutions, as well as follow up with other specialists to make the application more effective and ensure it runs in all computer systems where deployed.  A bachelor's degree in computer science or a related field is required for this position. Previous working experience using C++ is needed, and proficiency with other languages may be required or preferred as well. C++ developers must possess strong analytical skills, be able to multitask on a variety of projects, and possess strong communication abilities to interact with technical and non-technical staff members.  Read less"
C%2B%2B Software Engineer,"A career as a C++ software engineer is a fast-paced yet rewarding career that offers many growth and development opportunities.  A C++ software engineer will be required to have a strong work ethic and great interpersonal skills, as the position typically requires working in small groups. Due to the work environment of a C++ software engineer, an individual seeking this career will also need to have strong and effective oral and writing communication skills in order to communicate with other group members and project leads. The duty hours of a C++ software engineer will typically be during normal business hours, although  job demands will often require overtime and long hours.  Some of the typical job duties of a C++ engineer will be conducting code reviews in order to improve software quality and design. This engineer is also responsible for developing software and providing maintenance to current software. A typical C++ software engineer will be required to hold a bachelor's degree in computer science, electrical engineering, or a related field. In addition to the education requirements, prior experience with system platforms, development, and programming is often required. Also required is a knowledge of interfacing and networking protocols, as well any other processes involved.  There will be many times when a C++ software engineer will be required to communicate with customers and suppliers, which will require a solid understanding of the primary needs and functions of the job. Any individual seeking an exciting and rewarding career that offers room for advancement and professional growth should consider a position as a C++ software engineer.  Read less"
Call Center Analyst,"Call center analysts are responsible for the successful delivery of services from one entity to another. These analysts will ensure that their company has consistent service output, and they will often be in charge of creating monthly reports of the company’s service increases and decreases. Some call center analysts will be in charge of scheduling other people that would be considered their subordinates. Many call center analysts will work closely with service operation managers within a company to address any issues among employees in the facility and to review employee performance.  Call center analysts will need to be quite computer savvy, as much of their work is done through certain programs to document call volumes and service trends. It is also the duty of a call center analyst to work closely with management to devise plans to increase sales and services to clients.  Education requirements to become a call center analyst usually require a bachelor’s degree in business or business administration. It is essential for a potential call center analyst to have fantastic listening skills and great communication skills. Attention to detail will allow the person to excel as a call center analyst. The majority of a call center analyst’s job will be listening to the feedback of other employees and clients and communicating with others in a way that will benefit their company. All work is traditionally completed within an indoor setting, oftentimes in service headquarters.   Read less"
Category Analyst,"Category analysts work with internal teams of category management employees to coordinate efforts with merchandising departments and business partners. Basic daily responsibilities include assisting in negotiations with vendors, balancing and optimizing product selection, auditing inventory systems and distribution policies, and helping minimize costs. Performing these tasks effectively requires excellent communication with internal departments, partners, vendors, and customers to determine all parties' needs and coordinate a strong relationship among all parties. The category analyst generally reports directly to a category manager, but they frequently work directly with vendor partners, promotional teams, and sales teams to execute projects such as displays and advertisements. It is also necessary to work with these teams to determine inventory flow plans for product distribution, seasonal inventory requirements, and specific location requirements. After planning and executing these strategies, the category analyst is required to analyze and evaluate the strengths and shortcomings of each initiative. Category analysts generally work indoors during regular business hours, but travel and teleconferencing to communicate with partners are extremely common. A bachelor's degree in supply chain management, business, retail, or a related field is usually required for this position. Additionally, at least one year of experience in a related area is usually required as well. Basic abilities needed in this position include negotiation, analytical thinking, organizational, and planning skills. In most companies, knowledge of common stocking systems such as DPR, SAP, E3, or Retek are preferred.   Read less"
Category Development Analyst,"Category development analysts are primarily responsible for conducting and reviewing research on various product-types offered by a specific company or retailer. Based on this research, the analyst makes recommendations for changes to product offerings, and they also work closely with a category manager who provides guidance and influence based on the company's philosophy and goals. These analysts also play an important role in introducing new products and suggesting strategies that are most likely to be effective. Category development analysts work with large amounts and varieties of data, and reasoning skills are necessary in this position to draw sound conclusions based on data analysis. They must also have thorough knowledge of the products offered by the company as well as competing companies. When conducting research, these analysts aim to identify trends in sales of specific products and then take advantage of these trends by recommending increased production and marketing for successful products and decreased production and marketing for poorly-performing products. These analysts also work with the sales, marketing, merchandising, and planning departments to conduct research and make suggestions. Category development analysts must communicate effectively and in a timely manner with management and the specific departments which implement suggestions, and they should also be skilled at organizing data and presenting it effectively. Microsoft Office skills are also important, and most positions require a bachelor's degree in business, marketing, or a related field and prior experience in merchandising, inventory, and planning. These analysts typically work in an office, but also spend time in retail stores looking at product displays and consulting with store managers, and they usually work full-time during regular business hours.  Read less"
Certified Ethical Hacker (CEH),"A certified ethical hacker is an expert in hacking, who helps companies to realize their vulnerabilities. The work can be done for businesses or government organizations. The ethical hacker should have proficient knowledge of various operating systems and hacking techniques. It is important to continuously learn and update skills, as the world of hacking progresses quickly. Sometimes, duties relating to security training at a company will be delegated to the ethical hacker, in order to teach other employees about how they can best protect themselves. So even though much of the work of an ethical hacker is done at a computer in a solitary manner, public speaking and communication skills are also important.  An ethical hacker can work as a regular employee at a company or as an independent consultant. Often, a certified ethical hacker will have a variety of certifications.  The key certification to have is the Certified Ethical Hacker certification from the International Council of Electronic Commerce Consultants, which is obtained by taking a short course. Prior to this, the hacker should have a strong basis in IT education and possess tech support certifications like A+ and security certifications like Security+. The ethical hacker will have to be able to create worms, viruses, and other vulnerabilities and will need to carry out tests to see the damage that can be caused. Usually, the ethical hacker will have years of experience in a position related to information technology and will have to demonstrate proficiency in hacking skills.   Read less"
Certified Records Manager,"Certified records managers are responsible for managing their companies' records, whether they are in physical or electronic formats (or both), and may also help their companies devise more efficient methods of managing records. These managers should always stay up-to-date with the latest developments in the records management field, which  includes being aware of any laws or regulations that have changed. These managers ensure that data is only kept for as long as it is allowed to be kept  …Read more"
Certified ScrumMaster (CSM),
Certified Scrummaster (CSM),
Change%2FRelease Coordinator,
Chief Architect%2C IT,"Chief information technology (IT) architects are responsible for the IT infrastructure of an organization.  They lead the development and delivery of strategic technology solutions that fit the business' needs.  Additionally, they are responsible for reviewing, analyzing, and evaluating business systems and user needs.  Chief IT architects work closely with a variety of product and business owners to help understand and clarify business requirements.  Additionally, they collaborate with other teams and architects in their organization.  Another responsibility of theirs is helping guide technology investments at many different levels in an organization.  Chief architects' work hours may vary, and they usually work indoors in an office setting; however, this may vary by organization. Chief architect must have strong architecture and design skills, as these are the primary skill that they rely on.  They need to be knowledgeable about performance tuning and scalability, as well as have experience leading and mentoring junior developers.  It is essential that chief architects have some experience estimating capacity and work effort needed for IT tasks.  A wide degree of creativity is expected in this job, as is an excellent understanding of software development and the ability to write code in at least one programming language.  Chief IT architects generally have at least a technology- or business-related bachelor's degree (such as business administration, computer information systems, and computer science).  A master's degree generally is preferred.  Chief architects usually need at least 10 years of technology architectural design and planning experience across a variety of technology.  At least five years of management experience may be preferred.  Read less"
Citrix Administrator,"The software and information technology “skeleton” that most large companies use to power a variety of systems - from a company's intranet to applications for managing inventory, invoices, and various accounting procedures - may be powered by software systems designed by Citrix, which is a company which provides networking, virtual computer environments, and cloud technology. In order to ensure these software and hardware processes work together efficiently, a company will typically employ a Citrix administrator to oversee the implementation of these processes and handle customization-programming and training as needed. A Citrix administrator will typically help lay out the architecture by which various systems will be implemented; this can include creating a network that allows multiple users to share projects or contribute to a unified database, for example. The Citrix administrator ensures that user front-ends are easy to use and back-end networking processes operate efficiently and securely.  Those in this position also ensure that cloud solutions for the company's network are implemented properly. This means the administrator must not only ensure that computers connected via the company's intranet can access and modify cloud data, but also that users who operate tablets, smartphones, and similar mobile devices can do these things, as well. The Citrix administrator will also set up or maintain Citrix-based systems which facilitate inventory management, accounts payable and receivable, and all electronic communications infrastructure. To work as a Citrix administrator, a person typically needs either a college degree in Computer Science or Engineering or a vocational degree in Information Technology. In addition, applicants often specialize in Citrix applications and programming and hold required Citrix certifications. These administrators typically work regular weekly office hours in a computer office environment.  Read less"
Client Support Engineer%2C IT,"Client support engineers in information technology (IT) are tasked with troubleshooting and resolving issues for internal or external clients who use their organizations' systems or networks. These engineers must have an excellent understanding of computer hardware and software and be willing to continuously learn and use new technology, and customer service and interpersonal skills are also important in this position. IT client support engineers must respond to clients’ questions via email, virtual chat, phone, or in-person in a timely manner, and they may work closely with software engineers, system engineers, computer programmers, and other staff to ensure that the computer system runs smoothly and efficiently. They must log system issues and resolutions using database software and should always stay up-to-date with new technology in the marketplace, and some also continue to learn new skills by attending college classes, workshops, and conferences. These engineers may be required to travel to clients’ and vendors’ sites and must be familiar with technologies such as switching, routing, firewalls, and other networking tools. Knowledge in routing voice over IP traffic is beneficial in this position, as is proficiency in Microsoft Office programs to make slide presentations and generate reports and graphs. A bachelor’s degree or higher in a computer science-related field is generally required for this position, and IT client support engineers are also encouraged to read professional journals relevant to their field.  Read less"
Client Support Manager%2C IT,"Information technology (IT) client support managers are in charge of providing systems- and computer -elated advice and support to clients for their company. They are responsible for providing an excellent customer experience and solving information technology problems in a timely manner. IT client support managers manage a group of support professionals, motivating them to achieve all company objectives in a timely manner. They must work well with other managers, cooperating to find resolution to common goals and creating strategic programs to improve business processes.  The IT client support manager's main responsibilities include managing IT resources and ordering new supplies as needed. They create strong business relationships with internal and external clients to increase brand loyalty, serve as the main point of contact for clients and help create technical documentation for future use by IT and non-technical staff. IT client support managers actively participate in business meetings, contribute ideas to maximize departmental efficiency, and create training materials for junior staff. They report their progress to the client support supervisor or vice president in their organization. They also take part in the hiring process and help define employee requirements. Additionally, IT client support managers optimize vendor relationships to reduce company expenses, continually evaluate help-desk support personnel, and modify initiatives to provide excellent client support.  This position generally requires a bachelor's degree in computer science or a related field. In addition, previous experience in a relevant role, including managerial experience, may be required or preferred. Industry- and customer service-related certifications may be helpful.  Read less"
Clinical Analyst,"Clinical analysts work to regulate and improve clinical practices and standards within their organization. They help optimize workflow and their institution's clinical information systems. These analysts must interpret data, find solutions to organizational issues, and help implement those solutions as needed. Clinical analysts work within a strict set of organizational guidelines, which must also comply with relevant federal, state, and local laws. Clinical analysts must stay up to date with changes to relevant laws and regulations. They must also constantly work to create a more efficient and productive workflow while remaining within regulatory guidelines. Clinical analysts work closely with colleagues in a wide variety of situations. They collaborate in compiling and understanding relevant data before analyses are performed. In addition to finding ways to optimize workflow, clinical analysts act as a liaison between medical personnel and other departments.  Clinical analysts typically work during regular business hours, although weekend and evening work may be required depending on the needs of their employer.  A bachelor's degree in a life science or social science field - or another related discipline - is required in this position. Organizational skills are essential, as is experience in a related setting. Proficiency in basic computer software is needed, including within the healthcare portals and systems used by their institution. A background with databases and information technology is often preferred.   Read less"
Clinical Applications Specialist,"Clinical applications specialists work for medical equipment manufacturers and distributors, and also help medical personnel implement the equipment into their facilities. This is also a marketing position, as these specialists educate medical providers about new equipment and encourage them to purchase items that best suit their needs. Public speaking skills are important, as they may also conduct presentations about new products. Clinical applications specialists may coordinate (or directly provide) training for equipment, and lesson plans may have to be created. There may be minimum sales targets that need to be achieved, although commission may be offered based on sales performance. A minimum of an associate’s degree in nursing and experience within the field may be required for this position. These specialists must always stay up-to-date with new developments in the field and all products being sold, and it's also important to provide good customer service and have strong people skills to foster relationships with medical providers. Some companies will require a registered nurse for the position. Most duties are carried out during the day, though many positions require the specialist’s schedule to be flexible, which may occasionally include nights and weekends.  Read less"
Clinical Applications Specialist (Diagnostics),"Clinical applications specialist (diagnostics) is a role in the medical care industry that provides therapeutic sessions to families and completes assessments and medical equipment diagnostics. Other tasks they perform can include product demonstrations, device demonstrations (when appropriate), and installations of new products. The skills necessary for this job include functional interpersonal skills with patients and the ability to supervise assigned staff. This job may also require being on-call 24/7 for crises.  These specialists exist almost exclusively in the medical industry but can also be found in personal assistive care. Companies that sell medical equipment employ clinical applications specialists; in some cases, medical practitioners will as well. They work chiefly with other medical professionals within the company or practitioner's office and typically have some supervisory role over other staff. These specialists work indoors, although there can be a degree of physicality involved in operating or installing some medical equipment.  Employers of clinical applications specialists (diagnostics) typically require applicants to be licensed mental health professionals and have a bachelor's degree in a related field. Additionally, three years clinical experience or more is typically required to be considered for this position. These specialists generally work standard daytime office hours. Their primary role is usually troubleshooting medical equipment when it breaks down, but they can become have more inclusive involvement with patients, depending on the particular position and company.  Read less"
Clinical Data Analyst,"Clinical data analysts manage and examine clinical data for their organization. Their typical duties include data reporting, data analytics, and data mining, as well as coordinating with relevant departments (for example, the clinical operations and clinical strategy departments) to determine areas for analysis and the appropriate metrics to ensure data analysis is optimally useful. They must develop plans for data-related projects, identifying necessary resources and determining timelines and milestones. Other tasks performed by clinical data analysts may include performing data validation, handling data reconciliation, and working to retrieve missing data as needed.  Clinical data analysts should also provide their supervisor with project updates as required. They generally work full time in an office setting during regular business hours, although specific hours vary depending on the employer. At least a bachelor's degree in a relevant field is generally required for this position, although some jobs may require or prefer a master's degree in a related field such as informatics or public health as well. Familiarity with common computer software and systems - such as Oracle and Cognos - may be beneficial. Clinical data analysts should also have strong communication and data analysis skills, work well in a team setting, and work well on their own with minimal supervision.   Read less"
Clinical Data Manager,"Clinical data managers are responsible for managing and collecting data from clinical trials, research studies that evaluate the effectiveness and safety of certain medications using a large group of human participants. As clinical trials can be performed by a variety of organizations, clinical data managers have a wide range of prospective employers; they could be hired to manage studies for governmental agencies, pharmaceutical companies, universities, or independent researchers, among others.  Clinical data managers play an active role in these trials. They participate in discussions about data collection options prior to the trial. From there, they follow the clinical trial protocol and oversee the development of data collection tools. While they may not be involved in enrolling subjects, they oversee subjects during the trial and the way in which data is collected from them. Throughout the study, clinical data managers must make sure data is complete and consistent. Most clinical data manager positions require at least a bachelor's degree in a life science-related field, and some companies may prefer relevant certifications. Previous experience in a similar role is generally required as well. Clinical data managers must be proficient with relevant computer programs, pay close attention to detail, and have strong communication and organizational skills as well.  Read less"
Clinical Data Specialist,"Clinical data specialists work primarily for pharmaceutical companies and research departments of various universities and are responsible for providing data management support for a variety of clinical projects. They support studies and projects from start to finish while reviewing clinical trial data, and they must also identify data trends and areas of improvement based on data entry verification for specific projects. After reviewing data, clinical data specialists must write data management plans and generate reports to identify processes which should be improved.  They work closely with clinical research scientists and other professionals, and should be able to work independently as well as in a team environment.  Strong written and verbal communication skills are important in this position, and they should also keep themselves up-to-date in their field by reading relevant professional and scientific journals. Employers generally require candidates to have a bachelor’s degree in a relevant field and in-depth knowledge of electronic data capture (EDC) systems and related software. Clinical data specialists must be able to use analytical and scientific software, and proficiency in Microsoft Office programs is important in order to create scientific documents, graphs, and slides for presentation. They may also attend various workshops and conferences as required by their employers or on a voluntary basis to keep their scientific and technological skills up-to-date.  Read less"
Clinical Implementation Specialist,
Clinical Informatics Manager,"The position of a clinical informatics manager is employed primarily by companies in the health care industry, such as hospitals and clinics. Most employers are searching for applicants who have a Bachelor's degree in a biomedical or other health-related field, though a Master's degree is more preferable. Most organizations require several years of experience, ranging from as little as two years of clinical experience to five years or more. Some companies also require several years of experience in a management position and/or previous experience in implementing clinical informatics systems. Some organizations may be searching for certain certifications, as well. Clinical informatics managers work primarily in health care settings (little to no travel is required) and are responsible for planning and managing the organization's clinical informatics program. This means he/she will work to transform clinical data into knowledge and information that all health care professionals within the system can access. They will also plan, develop, and implement necessary plans and programs to improve the system's efficiency. Those in this position work with other departments, including data quality and drug safety associates, to ensure that optimal performance standards are met and security and accuracy are maintained. These managers also conduct internal reviews of their systems to isolate issues and implement new strategies for efficiency. They may work with a team of informatics technicians, but this is not always the case.  Read less"
Clinical Informatics Specialist,"The clinical information specialist position works in a medical facility with a significant number of medical records to manage. They build user interfaces and teach the clinical staff to use them properly. Like other managers, they must create ongoing process improvement plans and document accomplishments for regular reports to supervisors and management. In smaller practices, the clinical information specialist is more of a generalist, interacting with individuals providing and needing access to the records, as well as directing others who perform data entry and evaluation. These facilities may be entering paper records into computer systems; the clinical informatics specialists helps plan and manage this transition. This job is typically full time during regular business hours. For this position, registered nursing credentials are required in addition to several years of clinical experience in an environment certified by the Joint Commission on Accreditation of Healthcare Organizations (JCAHO). Additionally, the applicant needs specific skills in information technology. The clinical information specialist must understand the structure and function of complex database technology. While the employer generally provides training on their specific system, applicants must have a broader understanding of the commonalities and vocabulary of large information systems and customer relation databases.  Read less"
Clinical Nurse Auditor,
Clinical Outcomes Manager,
Clinical Systems Analyst,"Clinical systems analysts are responsible for system upkeep and network traffic analysis for their organization. They are in charge of responding to end user requests regarding software or hardware device issues, and they must follow privacy and operational procedures to define functional requirements. The analyst's main functions include planning and analyzing a variety of application for use in a clinical setting, and one of their main tools includes a personal computer with troubleshooting software to determine system problems. Clinical systems analysts also analyze system networks and recommend possible changes to the existing system processes to increase productivity and minimize computer issues. These analysts take part in the technical and procedure design stages, create detailed documentation for future reference, perform root cause analysis, and implement fixes after extensive testing phase. They also conduct system maintenance as required, as well as complete system modifications as needed to comply with clinical standards. Clinical systems analysts are the first line of customer support and also participate in training efforts, including introducing new technology to clinical staff and external clients. Generally, they report their progress to the clinical systems manager or supervisor in their department.   A bachelor's degree in system analysis, software development, or a similar field is required for this job. In addition, previousexperience in a clinical setting is generally required or preferred. Industry certifications may be beneficial. Clinical systems analysts must be organized individuals that pay close attention to detail to prevent system downtime. They should possess strong communication skills to interact with clinical staff and communicate technical issue to non-technical personnel. Additionally, they must work well in a team setting with other system analysts to achieve all organizational goals.  Read less"
Clinical Systems Engineer,
Cloud Software Architect,
Cloud Software Engineer,
Cloud Solutions Architect,
Cloud Solutions Engineer,
Cognos Software Developer,
Coldfusion Developer,"Coldfusion developers write programs and build web applications via the ColdFusion rapid development program and ColdFusion Mark-Up Language. The ability to troubleshoot, proof, test, and debug code is important in this position, as programs must be developed and then tested for bugs and other problems. Strong computer skills are important in this position to use jQuery, XMl, HTML, CSS, and JSON, though these requirements vary by employer, and applicants must be able to write complex SQL queries and understand source control and object-oriented programming. Coldfusion developers typically work full-time in an office environment to design, develop, and modify ColdFusion applications, and some work may be done independently while most tasks are performed on teams. Some overtime on nights or weekends may occasionally be necessary in this position, and strong communication skills are highly beneficial as some may be tasked with providing training and support for both technical and non-technical staff members. They may communicate with end-users to identify problems and how they can be resolved, and it's important that they stay up-to-date with all new technologies and developments in the field so that recommendations and changes can be implemented. A bachelor's degree in a computer science field is generally required for this position, though some employers may accept those with experience in place of educational requirements.  Read less"
Computer Aided Design (CAD) Manager,"Computer aided design (CAD) managers are responsible for all aspects of the design and completion of structural drawings. They are ultimately responsible for ensuring that the final design product is safe in accordance with established structural engineering and design standards. CAD managers lead a team of computer aided designers in the creation of construction designs.  They establish initial design specifications, then allow the associates to complete the work under their supervision. They instruct draftsmen in proper procedures, as well as ensure specifications are properly sourced and structural standards are met. As managers, they must encourage efficient, accurate work to keep within their departmental budget. CAD managers serve as the primary contact point between the computer aided design team and the project engineers. CAD managers work in an office environment during regular business hours, with occasional overtime as project deadlines approach. The bulk of their time is spent updating computer designs and working with the CAD team to review design specifications and ensure quality output. The remainder of their time is spent working with the project engineers and other departments to discuss project specifications and issues that may arise in the design phase. CAD managers are often required to hold a technical degree or certification in drafting and design. To reach the managerial level, they must have substantial experience, sometimes 10 or more years. A strong track record in using computer aided design software, as well as knowledge of engineering standards, is also required.  Read less"
