Job,salary($),salary_type,Base Salary,Bonus,Total Pay,Profit Sharing,Commission,Hourly Rate
Help Desk Team Leader,58144.0,year,$39k - $84k,$740 - $6k,$39k - $78k,$503 - $30k,,
Help Desk Technician,18.0,hour,,$250 - $4k,$30k - $57k,$459 - $4k,$0 - $3k,$14 - $25
High Speed Internet Technician,18.0,hour,,,$21k - $133k,,,$10 - $65
Human-Computer Interaction Designer,104762.0,year,$90k - $122k,$0 - $7k,$90k - $122k,,,
Human Resources Information Systems Specialist (HRIS),65299.0,year,$49k - $92k,$968 - $10k,$45k - $91k,$503 - $5k,,
IS Auditor / EDP Auditor,50640.0,year,$0 - $51k,,$0 - $48k,,,
Identity and Access Management (IAM) Administrator,80971.0,year,$56k - $103k,$2k - $15k,$53k - $104k,,,
Identity and Access Management (IAM) Analyst,72489.0,year,$49k - $120k,$504 - $17k,$47k - $118k,$1k - $4k,,
Identity and Access Management (IAM) Engineer,99156.0,year,$76k - $164k,$5k - $16k,$68k - $166k,,,
Implementation Manager,80527.0,year,$56k - $119k,$2k - $17k,$56k - $125k,$1k - $16k,$494 - $7k,
"Implementation Manager, IT",111960.0,year,$71k - $156k,$2k - $24k,$68k - $170k,,,
Informatica Developer,86014.0,year,$65k - $128k,$101 - $20k,$70k - $129k,,,
Informatics Nurse,83780.0,year,$65k - $104k,$306 - $10k,$63k - $105k,$0 - $2k,,
Information Architect,108410.0,year,$71k - $163k,$2k - $25k,$72k - $170k,$0 - $5k,,
Information Assurance Analyst,86345.0,year,$60k - $127k,$1k - $10k,$59k - $127k,,,
Information Assurance Engineer,105652.0,year,$68k - $147k,$1k - $7k,$69k - $149k,,,
Information Assurance Manager,112895.0,year,$71k - $158k,$5 - $22k,$72k - $170k,,,
Information Assurance Officer,88232.0,year,$68k - $132k,,$65k - $131k,,,
Information Management (IM) Coordinator,71500.0,year,$42k - $153k,$0 - $25k,$36k - $147k,,,
Information Management Specialist,64810.0,year,$41k - $97k,$3k - $22k,$36k - $99k,,,
Information Security Associate,65000.0,year,$49k - $127k,$2k - $51k,$44k - $135k,,,
Information Security Engineer,98095.0,year,$70k - $139k,$2k - $16k,$70k - $146k,$1k - $16k,,
Information Security Specialist,80488.0,year,$54k - $129k,$1k - $15k,$52k - $132k,$1k - $20k,,
Information Systems Audit Manager,117411.0,year,$95k - $152k,$5k - $22k,$101k - $163k,$2k - $7k,,
Information Systems Auditor,81984.0,year,$53k - $138k,$1k - $15k,$43k - $138k,,,
"Information Systems Coordinator, Medical",55495.0,year,$39k - $97k,$1 - $3k,$36k - $80k,,,
Information Systems (IS) Analyst,68332.0,year,$48k - $102k,$961 - $10k,$44k - $102k,$1k - $15k,,
Information Systems (IS) Manager,90210.0,year,$54k - $136k,$2k - $19k,$52k - $140k,$772 - $14k,,
Information Systems (IS) Supervisor,78421.0,year,$62k - $116k,$3k - $8k,$38k - $116k,,,
Information Technology (IT) Architect,125239.0,year,$84k - $165k,$3k - $25k,$82k - $183k,$2k - $15k,,
Information Technology (IT) Assistant,17.0,hour,,$200 - $5k,$28k - $56k,$53 - $3k,,$13 - $25
Information Technology (IT) Auditor,75700.0,year,$57k - $111k,$2k - $12k,$57k - $118k,$255 - $16k,,
Information Technology (IT) Consultant,83432.0,year,$53k - $134k,$1k - $17k,$49k - $148k,$745 - $14k,$2k - $35k,
Information Technology (IT) Coordinator,54957.0,year,$40k - $74k,$515 - $7k,$38k - $70k,$1k - $3k,,
Information Technology (IT) Director,124573.0,year,$74k - $179k,$3k - $36k,$72k - $200k,$2k - $24k,$4k - $73k,
Information Technology (IT) Intern,16.0,hour,,$203 - $5k,$24k - $59k,$0 - $1k,,$12 - $27
Information Technology (IT) Lead,95230.0,year,$61k - $141k,$2k - $24k,$51k - $152k,$679 - $14k,,
Information Technology (IT) Manager,91036.0,year,$58k - $137k,$1k - $20k,$54k - $144k,$1k - $12k,$183 - $22k,
Information Technology (IT) Operations Manager,97957.0,year,$67k - $139k,$1k - $16k,$65k - $145k,$1k - $16k,$0 - $8k,
Information Technology (IT) Project Coordinator,63298.0,year,$41k - $85k,$750 - $7k,$40k - $86k,$0 - $6k,,
Information Technology (IT) Supervisor,74466.0,year,$53k - $107k,$1k - $10k,$49k - $108k,$516 - $10k,,
Information Technology (IT) Support Specialist,53988.0,year,$39k - $78k,$495 - $7k,$35k - $73k,$484 - $6k,$990 - $39k,
Information Technology Officer,58988.0,year,$42k - $129k,$2k - $13k,$43k - $139k,,,
Information Technology Specialist,60593.0,year,$41k - $100k,$498 - $10k,$37k - $93k,$508 - $12k,$0 - $10k,
Infrastructure Analyst,73087.0,year,$53k - $101k,$1k - $12k,$47k - $102k,,,
Instructional Technologist,59495.0,year,$42k - $78k,$1k - $8k,$41k - $77k,,,
Instructional Technology Specialist,55683.0,year,$41k - $78k,$637 - $12k,$40k - $80k,$0 - $2k,,
Integrated Circuit (IC) Designer,103863.0,year,$80k - $161k,$2k - $10k,$56k - $160k,$0 - $7k,,
"Integration%2FTest Manager, Data Processing Systems",96371.0,year,$59k - $119k,$4k - $10k,$42k - $119k,,,
Interaction Designer,80568.0,year,$58k - $118k,$2k - $15k,$58k - $125k,$1k - $10k,,
Interactive Designer,67618.0,year,$48k - $98k,$252 - $8k,$48k - $103k,$503 - $3k,$0 - $2k,
Interactive / Digital Producer,78939.0,year,$50k - $105k,$993 - $12k,$50k - $120k,$0 - $18k,,
"Internal Support Engineer, IT",63871.0,year,$59k - $68k,,$36k - $66k,,,
"Internal Support Manager, IT",70000.0,year,$49k - $148k,$5k - $9k,$49k - $163k,,,
Internet Marketing Analyst,50868.0,year,$41k - $86k,$3k - $8k,$33k - $89k,$0 - $630,,
iOS Developer,100318.0,year,$66k - $147k,$2k - $19k,$64k - $154k,$1k - $20k,,
iPhone Developer,71175.0,year,$0 - $71k,$0 - $102,$20k - $84k,,,
Java Developer,83250.0,year,$57k - $121k,$1k - $15k,$57k - $129k,$534 - $10k,,
Java Programmer,65000.0,year,$45k - $100k,$0 - $5k,$43k - $106k,,,
Java Software Developer / Programmer,79334.0,year,$54k - $126k,$970 - $15k,$52k - $132k,$4 - $5k,,
Java Web Software Developer,76453.0,year,$48k - $128k,$2k - $10k,$45k - $131k,,,
Junior Network Administrator,49193.0,year,$40k - $58k,$610 - $5k,$33k - $60k,,,
Junior SOC Analyst,58297.0,year,$41k - $97k,$983 - $6k,$43k - $93k,,,
Junior Software Engineer,66340.0,year,$50k - $85k,$976 - $8k,$47k - $86k,$491 - $8k,,
Junior Systems Administrator,45525.0,year,$39k - $71k,,$32k - $71k,,,
Knowledge Engineer,73601.0,year,$59k - $131k,$7k - $16k,$60k - $130k,,,
Knowledge Manager,85344.0,year,$54k - $138k,$2k - $18k,$51k - $140k,$1k - $33k,,
LAN Analyst,68470.0,year,$0 - $68k,,$0 - $71k,,,
Lead Applications Developer,116860.0,year,$83k - $146k,$2k - $19k,$84k - $157k,$613 - $18k,,
"Lead Computer Software Engineer, Applications",114388.0,year,$110k - $120k,$0 - $6k,$110k - $123k,,,
Lead Data Scientist,143373.0,year,$105k - $183k,$5k - $30k,$109k - $202k,$2k - $49k,,
Lead Level and Layout Designer,26.0,hour,,$0 - $6k,$49k - $94k,$0 - $11k,,$22 - $36
Lead Software Development Engineer (SDE),124524.0,year,$90k - $161k,$2k - $19k,$91k - $170k,$511 - $14k,,
Lead Software Engineer,126695.0,year,$90k - $166k,$2k - $23k,$91k - $179k,$2k - $20k,,
Lead Systems Analyst,97435.0,year,$67k - $133k,$2k - $22k,$65k - $141k,$308 - $8k,$0 - $12k,
Lead Systems Engineer,118587.0,year,$82k - $157k,$1k - $20k,$83k - $165k,$1k - $16k,,
Lead Tools Software Engineer,136500.0,year,$0 - $137k,$0 - $10k,$69k - $175k,,,
Lead Video Game Designer,97436.0,year,$69k - $133k,$0 - $2k,$71k - $133k,,,
Lead Web Developer,83321.0,year,$61k - $121k,$497 - $15k,$55k - $122k,$3k - $9k,,
Leaded Glass Glazier,18.0,hour,,$0 - $300,$31k - $55k,,,$15 - $26
Legal Records Manager,60000.0,year,$0 - $60k,$0 - $500,$38k - $61k,,,
Level Designer,63013.0,year,$41k - $102k,$3k - $13k,$40k - $114k,$0 - $14k,,
Linux System Administrator,85118.0,year,$56k - $121k,$1k - $10k,$52k - $121k,$201 - $13k,,
Linux Systems Administrator,86432.0,year,$62k - $122k,$772 - $13k,$51k - $123k,$0 - $800,,
Lotus Notes Developer,97146.0,year,$83k - $101k,$0 - $600,$66k - $106k,,,
Mainframe Systems Programmer,102877.0,year,$59k - $146k,$829 - $17k,$59k - $149k,$0 - $5k,,
Managed Services Director,99750.0,year,$64k - $112k,$0 - $23k,$64k - $127k,,,
Managed Services Manager,84192.0,year,$73k - $97k,$0 - $3k,$68k - $103k,,,
Management Information System Manager,62400.0,year,$49k - $76k,,$47k - $76k,,,
"Manager, Data Processing",68273.0,year,$44k - $108k,$1k - $11k,$38k - $116k,$0 - $329,,
Mathematical Modeling Engineer,91643.0,year,$61k - $111k,$0 - $50k,$34k - $117k,$22 - $6k,,
Mathematician,79901.0,year,$52k - $135k,$1k - $20k,$53k - $135k,$0 - $5k,,
Medical Application Specialist,65000.0,year,$36k - $134k,$1k - $10k,$38k - $128k,,,
"Member of Technical Staff, Applied Researcher",128267.0,year,$87k - $166k,$919 - $23k,$36k - $174k,$60 - $30k,,
Microsoft Exchange Administrator,82179.0,year,$52k - $125k,$769 - $10k,$46k - $123k,$0 - $2k,,
Mobile Applications Developer,78255.0,year,$54k - $128k,$503 - $10k,$48k - $134k,$2k - $52k,$0 - $21k,
Mobile Engineer,102028.0,year,$61k - $131k,$850 - $16k,$54k - $131k,$0 - $4k,,
Module Lead,19.0,hour,,$1k - $5k,$29k - $89k,,,$12 - $30
Multimedia Developer,67725.0,year,$43k - $101k,$485 - $6k,$39k - $100k,,,
Multimedia Programmer,21.0,hour,,$0 - $2k,$31k - $92k,,,$20 - $29
.NET Software Developer / Programmer,77637.0,year,$51k - $112k,$535 - $10k,$51k - $119k,$509 - $7k,,
Network Administrator,64187.0,year,$45k - $89k,$511 - $6k,$43k - $88k,$702 - $7k,,
"Network Administrator, Data Center",64000.0,year,$49k - $70k,,$49k - $70k,,,
"Network Administrator, IT",63184.0,year,$43k - $86k,$517 - $7k,$39k - $85k,$561 - $5k,,
"Network Administrator, LAN",62950.0,year,$44k - $88k,$983 - $3k,$47k - $87k,,,
"Network Administrator, LAN / WAN",75540.0,year,$58k - $101k,$500 - $9k,$53k - $102k,$0 - $610,,
Network Analyst,61540.0,year,$46k - $93k,$444 - $10k,$43k - $91k,$800 - $7k,,
Network Architect,124805.0,year,$83k - $167k,$5k - $29k,$82k - $180k,$3k - $12k,,
Network Control Technician,49920.0,year,$0 - $50k,,$0 - $57k,,,
Network%2FData Communications Manager,106625.0,year,$60k - $170k,$8k - $20k,$58k - $175k,,,
Network Engineer,79749.0,year,$55k - $114k,$1k - $12k,$52k - $117k,$770 - $10k,$175 - $15k,
"Network Engineer, IT",81984.0,year,$56k - $117k,$993 - $11k,$43k - $118k,$1k - $6k,,
Network Engineering Director,154913.0,year,$121k - $173k,$0 - $10k,$131k - $175k,,,
Network Manager,95969.0,year,$62k - $136k,$1k - $18k,$58k - $140k,$1k - $22k,,
Network Operations Center (NOC) Engineer,63891.0,year,$46k - $91k,$1k - $9k,$40k - $94k,$46 - $16k,,
Network Operations Center (NOC) Technician,21.0,hour,,$198 - $6k,$35k - $72k,$805 - $2k,,$16 - $32
Network Operations Manager,94197.0,year,$61k - $129k,$2k - $20k,$61k - $140k,$0 - $2k,,
Network Operations Specialist,25.0,hour,,,$41k - $103k,,,$13 - $45
Network Operations Technician,20.0,hour,,$2k - $4k,$34k - $76k,$0 - $2k,,$16 - $36
Network Security Analyst,77753.0,year,$50k - $113k,$979 - $16k,$51k - $114k,$0 - $6k,,
Network Security Engineer,95511.0,year,$65k - $140k,$2k - $16k,$64k - $146k,$403 - $10k,,
Network Specialist,60804.0,year,$42k - $88k,$676 - $8k,$41k - $88k,$2k - $6k,,
Network Support Engineer,74529.0,year,$48k - $100k,$2k - $9k,$48k - $103k,,,
"Network / System Administrator, General Office",62605.0,year,$47k - $85k,$408 - $8k,$41k - $84k,$983 - $4k,,
Network Systems / Data Communications Analyst,67664.0,year,$34k - $148k,$0 - $2k,$46k - $115k,,,
Network Technician,23.0,hour,,$273 - $6k,$35k - $77k,$302 - $5k,,$16 - $34
"Network Technician, IT",23.0,hour,,$200 - $6k,$34k - $73k,,,$15 - $32
Network & Computer Systems Administrator Assistant,49547.0,year,$35k - $61k,$491 - $4k,$33k - $61k,$0 - $1k,,
Network & Computer Systems Administrator / Systems Programmer,72237.0,year,$43k - $105k,$996 - $11k,$42k - $105k,$0 - $3k,,
Nurse Auditor,35.0,hour,,$0 - $1k,$50k - $100k,,,$24 - $53
Nursing Informatics Analyst,83632.0,year,$57k - $116k,,$58k - $116k,,,
Nursing Informatics Coordinator,81215.0,year,$65k - $95k,,$63k - $93k,,,
Nursing Informatics Director,96500.0,year,$0 - $97k,,$76k - $124k,,,
Nursing Informatics Manager,105000.0,year,$89k - $121k,,$95k - $116k,,,
Nursing Informatics Specialist,86069.0,year,$68k - $110k,$0 - $2k,$68k - $115k,,,
Online Communications Associate,39531.0,year,$0 - $40k,,$27k - $42k,,,
Online Communications Strategist,61042.0,year,$53k - $85k,$0 - $600,$36k - $99k,,,
Online Marketing Client Relations Coordinator,40000.0,year,$0 - $40k,,$34k - $53k,,,
Online Marketing Data Analyst,61000.0,year,$0 - $61k,$0 - $4k,$30k - $67k,,,
Online Project Manager,55000.0,year,$46k - $97k,$0 - $4k,$21k - $125k,,,
Ontologist,97850.0,year,$70k - $161k,$4k - $19k,$79k - $181k,,,
Operating Systems Programmer,83500.0,year,$59k - $98k,,$59k - $98k,,,
Operations Analyst,61527.0,year,$47k - $84k,$1k - $10k,$44k - $85k,$531 - $7k,$418 - $10k,
"Operations Analyst, Call Center",20.0,hour,,$645 - $16k,$33k - $70k,,,$16 - $27
Operations%2FData Analyst,66171.0,year,$47k - $86k,$739 - $9k,$43k - $88k,$197 - $5k,,
Operations Research Manager,90000.0,year,$57k - $130k,$2k - $10k,$62k - $138k,$0 - $4k,,
Operations Research Supervisor,67000.0,year,$53k - $136k,$0 - $2k,$52k - $115k,,,
Operations%2FSystems Analyst,73239.0,year,$52k - $108k,$989 - $15k,$47k - $114k,$4k - $12k,,
Oracle Database Administrator (DBA),102110.0,year,$68k - $141k,$2k - $19k,$66k - $148k,$103 - $29k,,
Oracle Developer,97481.0,year,$68k - $134k,$1k - $14k,$72k - $145k,$3k - $4k,,
PHP Developer,68315.0,year,$41k - $100k,$483 - $6k,$39k - $99k,$1k - $9k,,
PHP Software Developer / Programmer,70000.0,year,$46k - $102k,$979 - $10k,$43k - $98k,$0 - $1k,,
PHP Web Developer,61551.0,year,$46k - $97k,$301 - $12k,$43k - $98k,,,
Patient Data Specialist,16.0,hour,,,$31k - $44k,,,$14 - $19
Penetration Tester,92135.0,year,$61k - $139k,$2k - $15k,$58k - $146k,$695 - $18k,,
PeopleSoft Installation Engineer,110000.0,year,$54k - $126k,$0 - $12k,$31k - $242k,$0 - $4k,,
Picture Archiving and Communication System (PACS) Administrator,72767.0,year,$61k - $101k,$0 - $800,$59k - $101k,,,
Picture Archiving and Communication System (PACS) Analyst,61601.0,year,$60k - $66k,$0 - $750,$59k - $66k,,,
Picture Archiving and Communication System (PACS)%2FRadiology Information Systems (RIS) Administrator,36.0,hour,,,$56k - $102k,,,$28 - $39
Picture Archiving and Communication System (PACS)%2FRadiology Information Systems (RIS) Assistant,18.0,hour,,,$31k - $46k,,,$15 - $22
Picture Archiving and Communication System (PACS)%2FRadiology Information Systems (RIS) Manager,79000.0,year,$56k - $100k,$0 - $7k,$65k - $106k,,,
Portal Administrator,17.0,hour,,,$38k - $67k,,,$13 - $31
Powertrain Control Systems & Software Engineer,91436.0,year,$71k - $114k,$4k - $12k,$71k - $118k,$0 - $4k,,
Principal Software Architect,157749.0,year,$129k - $197k,$10k - $35k,$134k - $220k,$2k - $30k,,
Principal Software Engineer,147116.0,year,$113k - $188k,$5k - $30k,$117k - $204k,$2k - $29k,,
Process Analyst,67466.0,year,$49k - $93k,$891 - $10k,$40k - $97k,$970 - $6k,,
"Product Manager, Software",104275.0,year,$72k - $142k,$3k - $20k,$74k - $151k,$1k - $19k,$398 - $15k,
Product Owner,95087.0,year,$66k - $131k,$2k - $16k,$67k - $141k,$1k - $14k,,
Product Support Analyst,58032.0,year,$44k - $77k,$1k - $7k,$44k - $75k,$0 - $2k,,
Product Support Manager,82226.0,year,$58k - $121k,$1k - $15k,$58k - $125k,$3k - $9k,$0 - $28k,
Product Support Specialist,57487.0,year,$41k - $83k,$982 - $12k,$38k - $80k,$979 - $6k,$0 - $5k,
"Product Support Specialist, Internet Services",14.0,hour,,$0 - $2k,$28k - $49k,,,$13 - $15
Professional Services Consultant,81312.0,year,$55k - $130k,$2k - $19k,$56k - $148k,$255 - $30k,,
Professional Services Engineer,81628.0,year,$56k - $124k,$2k - $15k,$56k - $138k,$0 - $3k,,
"Program Analyst, IT",82246.0,year,$61k - $86k,$0 - $4k,$64k - $89k,,,
Program Analyst (Unspecified Type),55300.0,year,$39k - $98k,,$42k - $92k,,,
"Program Manager, Computer Software",110106.0,year,$74k - $154k,$3k - $24k,$74k - $166k,$1k - $26k,,
"Program Manager, Database Development",85000.0,year,$71k - $146k,$0 - $5k,$71k - $171k,,,
"Program Manager, IT",118576.0,year,$76k - $157k,$3k - $23k,$79k - $170k,$2k - $29k,,
"Program Manager, Localization",100575.0,year,$66k - $136k,$1k - $18k,$53k - $141k,$0 - $8k,,
Programmer Analyst,70044.0,year,$51k - $100k,$582 - $10k,$50k - $103k,$499 - $18k,,
"Project Controller, Information Technology (IT)",78850.0,year,$61k - $136k,$1k - $9k,$46k - $138k,,,
"Project Coordinator, Information Technology (IT)",59986.0,year,$44k - $84k,$508 - $8k,$42k - $83k,$550 - $14k,$0 - $6k,
"Project Director, Information Technology (IT)",130156.0,year,$78k - $169k,$3k - $30k,$76k - $182k,$3k - $5k,,
"Project Engineer, IT",71139.0,year,$60k - $143k,$2k - $15k,$60k - $149k,,,
"Project Leader, IT",96993.0,year,$64k - $141k,$1k - $20k,$53k - $148k,$104 - $13k,,
"Project Management Director, IT",147320.0,year,$94k - $185k,$75 - $35k,$92k - $203k,$12k - $21k,,
Project Management Office (PMO) Manager,119697.0,year,$82k - $160k,$3k - $25k,$84k - $175k,$2k - $15k,,
Project Management Specialist,76153.0,year,$54k - $123k,$1k - $12k,$50k - $123k,$2k - $5k,$0 - $1k,
"Project Manager, Information Technology (IT)",91478.0,year,$60k - $133k,$1k - $16k,$59k - $141k,$970 - $14k,$2k - $16k,
"Project Manager, Network Operations",76548.0,year,$44k - $123k,$5k - $10k,$45k - $122k,$0 - $750,,
"Project Manager, Software Development",92840.0,year,$62k - $136k,$2k - $15k,$60k - $142k,$1k - $14k,,
"Project Manager, Web",70099.0,year,$45k - $100k,$488 - $8k,$43k - $103k,$1k - $17k,$0 - $928,
Public Key Infrastructure (PKI) Specialist,99839.0,year,$90k - $105k,,$53k - $133k,,,
Quality Assurance Analyst,61042.0,year,$45k - $87k,$540 - $7k,$39k - $87k,$517 - $9k,,
"Quality Assurance Analyst, IT",58833.0,year,$43k - $104k,$278 - $13k,$45k - $111k,,,
"Quality Assurance Director, Computer Software",130232.0,year,$123k - $155k,$8k - $30k,$130k - $177k,,,
"Quality Assurance Manager, Computer Software",100864.0,year,$68k - $150k,$1k - $14k,$69k - $156k,$0 - $7k,,
"Quality Assurance Manager, IT",108077.0,year,$69k - $135k,$9k - $15k,$65k - $153k,$0 - $4k,,
Quality Assurance (QA) Engineer,75560.0,year,$57k - $104k,$1k - $10k,$54k - $107k,$598 - $9k,$0 - $1k,
Quality Assurance (QA) / Test Automation Engineer,76847.0,year,$55k - $103k,$979 - $11k,$55k - $108k,$339 - $16k,,
Release Engineer,87975.0,year,$66k - $123k,$1k - $12k,$66k - $127k,$1k - $25k,,
Remedy Developer,121725.0,year,$0 - $122k,,$0 - $119k,,,
"Research Analyst, Operations",82551.0,year,$51k - $119k,$500 - $14k,$51k - $121k,$0 - $1k,,
"Research & Development (R%26D) Manager, Computer Software",120000.0,year,$93k - $168k,$0 - $25k,$107k - $192k,$0 - $12k,,
Ruby Software Developer / Programmer,84767.0,year,$62k - $115k,$2k - $16k,$58k - $118k,$0 - $2k,,
SAP ABAP Programmer,100519.0,year,$55k - $135k,$2k - $20k,$59k - $153k,$0 - $22k,,
SAP Basis Administrator,94900.0,year,$60k - $153k,$805 - $20k,$56k - $158k,$426 - $5k,,
SAP Business Intelligence Consultant,90500.0,year,$60k - $138k,$5k - $25k,$62k - $155k,,,
SAP Consultant,97762.0,year,$61k - $145k,$2k - $22k,$63k - $173k,$981 - $26k,$0 - $15k,
SAP Data Analyst,71807.0,year,$48k - $102k,$5k - $10k,$45k - $100k,$0 - $4k,,
SAS Programmer,86152.0,year,$62k - $129k,$1k - $12k,$63k - $138k,$1k - $11k,,
SAS Programming Supervisor,103000.0,year,$0 - $103k,$0 - $16k,$0 - $113k,,,
SCADA Programmer,79112.0,year,$54k - $137k,$2k - $21k,$45k - $132k,,,
SQL Developer,80525.0,year,$56k - $114k,$1k - $11k,$53k - $119k,$197 - $8k,,
Salesforce Administrator,73534.0,year,$52k - $104k,$1k - $12k,$51k - $108k,$505 - $11k,$5k - $22k,
Satellite Systems Engineer,89308.0,year,$63k - $174k,$1k - $14k,$64k - $165k,,,
ScrumMaster,93597.0,year,$66k - $130k,$2k - $17k,$66k - $140k,$194 - $10k,,
Search Engine Marketing (SEM) Analyst,52724.0,year,$42k - $76k,$206 - $12k,$42k - $79k,$0 - $2k,,
Search Engine Marketing (SEM) Strategist,59166.0,year,$49k - $93k,$2k - $13k,$50k - $97k,$0 - $5k,,
Search Engine Optimization (SEO) Account Manager,58750.0,year,$42k - $64k,$0 - $2k,$37k - $79k,,,
Search Engine Optimization (SEO) Analyst,54077.0,year,$41k - $76k,$685 - $7k,$38k - $76k,$1k - $4k,,
Search Engine Optimization (SEO) Director,97221.0,year,$68k - $147k,$1k - $29k,$66k - $149k,,,
Search Engine Optimization (SEO) Expert,66250.0,year,$0 - $66k,$0 - $8k,$37k - $81k,,,
Search Engine Optimization (SEO) Lead,74865.0,year,$41k - $122k,$0 - $13k,$42k - $121k,,,
Search Engine Optimization (SEO) Marketing Strategist,64069.0,year,$43k - $89k,$964 - $11k,$39k - $88k,$0 - $2k,,
Search Engine Optimization (SEO) Professional,41446.0,year,$0 - $41k,,$0 - $43k,,,
Search Engine Optimization (SEO) Specialist,50761.0,year,$39k - $72k,$297 - $6k,$36k - $71k,$250 - $7k,,
Search Marketing Analyst,58400.0,year,$52k - $70k,$0 - $700,$52k - $70k,,,
Secretary of the Board,70500.0,year,$43k - $97k,$0 - $5k,$38k - $99k,,,
"Security Administrator, Computer Network",71343.0,year,$50k - $88k,$0 - $5k,$37k - $87k,,,
"Security Administrator, IT",69298.0,year,$50k - $98k,$1k - $10k,$48k - $97k,$541 - $6k,,
"Security Architect, IT",136814.0,year,$92k - $184k,$4k - $36k,$94k - $208k,$3k - $26k,$0 - $28k,
"Security Consultant, (Computing / Networking / Information Technology)",93348.0,year,$66k - $149k,$2k - $21k,$64k - $167k,$1k - $25k,,
"Security Consultant, IT",87156.0,year,$67k - $139k,$2k - $16k,$68k - $142k,$1k - $2k,,
"Security Director, Computing / Networking / Information Technology",158132.0,year,$101k - $183k,$3k - $32k,$101k - $210k,$0 - $15k,,
Security Engineer,99220.0,year,$68k - $145k,$2k - $20k,$67k - $154k,$2k - $31k,$4k - $10k,
"Security Engineer, Information Systems",106189.0,year,$69k - $150k,$551 - $15k,$69k - $153k,$3k - $9k,,
Senior Actuarial Associate,96945.0,year,$87k - $128k,$4k - $15k,$88k - $139k,$0 - $4k,,
Senior Actuary,107800.0,year,$68k - $135k,$3k - $16k,$68k - $149k,$0 - $2k,,
Senior Application Developer,102900.0,year,$77k - $133k,$2k - $18k,$79k - $140k,$986 - $10k,,
Senior Applications Engineer,101014.0,year,$78k - $132k,$2k - $15k,$80k - $138k,$502 - $16k,$0 - $10k,
Senior Associate Data Scientist,95000.0,year,$0 - $95k,$0 - $9k,$0 - $103k,,,
Senior Biostatistician,119563.0,year,$85k - $144k,$3k - $20k,$85k - $158k,$116 - $7k,,
Senior Business Intelligence (BI) Analyst,95393.0,year,$74k - $124k,$2k - $15k,$77k - $130k,$979 - $15k,,
Senior Business Systems Analyst,98436.0,year,$77k - $130k,$3k - $15k,$78k - $137k,$879 - $14k,,
Senior Clinical Data Analyst,91877.0,year,$64k - $109k,$403 - $18k,$64k - $118k,,,
Senior Clinical Data Associate,96429.0,year,$54k - $130k,$9k - $10k,$56k - $132k,$0 - $20k,,
Senior Clinical Data Coordinator,77263.0,year,$63k - $86k,$0 - $2k,$65k - $86k,,,
Senior Clinical Data Manager,107819.0,year,$80k - $140k,$2k - $18k,$82k - $151k,$3k - $10k,,
Senior Cloud Software Engineer,138010.0,year,$102k - $182k,$2k - $99k,$106k - $240k,$0 - $13k,,
Senior Cloud Solutions Architect,170438.0,year,$117k - $210k,$5k - $50k,$117k - $251k,,,
Senior Cloud Solutions Engineer,122271.0,year,$84k - $167k,$2k - $29k,$85k - $213k,,,
Senior Computer Scientist,156718.0,year,$102k - $196k,$1k - $18k,$102k - $205k,$0 - $20k,,
Senior Computer Specialist,80363.0,year,$43k - $139k,$0 - $9k,$42k - $149k,,,
Senior Computer Technician,20.0,hour,,$786 - $3k,$37k - $72k,,,$16 - $34
Senior Data Engineer,127434.0,year,$99k - $160k,$5k - $23k,$102k - $171k,$2k - $17k,,
Senior Data Quality Analyst,88436.0,year,$66k - $118k,$2k - $17k,$60k - $125k,,,
Senior Data Scientist,130753.0,year,$99k - $165k,$5k - $22k,$103k - $177k,$2k - $25k,,
Senior Database Administrator (DBA),115639.0,year,$85k - $146k,$2k - $19k,$86k - $155k,$988 - $10k,,
Senior Database Developer,104198.0,year,$80k - $129k,$566 - $12k,$82k - $138k,$4k - $9k,,
Senior Database Engineer,127038.0,year,$96k - $163k,$4k - $17k,$97k - $175k,$1k - $9k,,
Senior Development Operations (DevOps) Engineer,124617.0,year,$93k - $164k,$5k - $20k,$94k - $172k,$0 - $7k,,
Senior Embedded Software Engineer,121436.0,year,$95k - $157k,$2k - $18k,$96k - $166k,$1k - $26k,,
Senior Firmware Engineer,117124.0,year,$94k - $151k,$3k - $20k,$98k - $165k,$2k - $16k,,
Senior Geographic Information Systems (GIS) Analyst,72637.0,year,$57k - $97k,$1k - $15k,$57k - $101k,$0 - $2k,,
Senior Geographic Information Systems (GIS) & Remote Sensing Specialist,74000.0,year,$52k - $115k,,$54k - $81k,,,
Senior Identity and Access Management (IAM) Analyst,120000.0,year,$0 - $120k,,$64k - $158k,,,
Senior Identity and Access Management (IAM) Engineer,122449.0,year,$111k - $146k,$0 - $11k,$112k - $146k,,,
Senior Information Technology (IT) Manager,126819.0,year,$86k - $164k,$4k - $27k,$87k - $180k,$1k - $20k,,
Senior Interactive Developer,68000.0,year,$51k - $82k,$0 - $3k,$51k - $86k,,,
Senior Interactive Producer,104561.0,year,$65k - $166k,$2k - $20k,$67k - $194k,$0 - $8k,,
Senior Internet%2FCommunication Engineer,97858.0,year,$51k - $161k,$5k - $12k,$51k - $171k,,,
Senior Java Developer,114183.0,year,$84k - $149k,$2k - $20k,$86k - $158k,$101 - $59k,,
Senior Level and Layout Designer,91564.0,year,$70k - $136k,$5k - $17k,$67k - $155k,,,
