jobs,description,loc,datePosted,workhours,salary,contract_type,experience,diploma,skills,qualifications,industry,company,size,company_description,tools,ID_dep,ville,date
"Consultant·e Data - Lille F/H - Système, réseaux, données (H/F)","Descriptif du poste:

Ta mission : 
* Tu intègres la communauté Data, en tant que Data Engineer ou Data Analyst. 
* Tu conçois et modélises les données et identifies les sources et flux à réaliser.
* Tu es en lien permanent avec les équipes métiers et IT.
* Tu formes et transmets ton savoir.
* Tu es garant·e de la qualité des livraisons. 
 
Tes compétences : 
ELT, ETL : Talend, ODI, Stambia, Kestra, Airflow
Systèmes distribués : Kafka, Spark, Messaging 
Data Visualisation : Tableau, BO, PowerBI, D3JS, Qlik 
API, Bases SQL et No SQL 
GCP, AWS 
Python, SQL 

Profil recherché:

Ton profil : 
* Tu es expert·e de la data et tu sais traduire le besoin métier à travers la data (KPI, Dashboard).
* La manipulation et le traitement des données est une seconde nature.
* Tu as le sens du service et tu apportes des solutions innovantes.
* Tu aimes transmettre et partager ton savoir. 
* Tu justifies impérativement d'au moins 3 ans d'expériences et tu as développé·e une autonomie sur ton domaine de compétence.",59 - LILLE,Publié le 31 juillet 2023,,,Contrat à durée indéterminée,Expérience exigée de 3 An(s),,[],Cadre,Gestion d'installations informatiques,NTICO,"Créée en 2010, la communauté Ntico est née d'une volonté de partager plus que des projets, mais de véritables expériences humaines uniques.
L'écoute de nos collaborateur·rices, comme de nos client·es est au coeur de notre performance. 
Le Groupe recrute et recherche continuellement de nouveaux talents. 
 
Pourquoi nous rejoindre ? 
* Parce que chez nous, tu développeras constamment de nouvelles compétences.
* Parce que chez nous, tu es écouté·e, valorisé·e et acc...","Créée en 2010, la communauté Ntico est née d'une volonté de partager plus que des projets, mais de véritables expériences humaines uniques.L'écoute de nos collaborateur·rices, comme de nos client·es est au coeur de notre performance. Le Groupe recrute et recherche continuellement de nouveaux talents.  Pourquoi nous rejoindre ? * Parce que chez nous, tu développeras constamment de nouvelles compétences.* Parce que chez nous, tu es écouté·e, valorisé·e et acc...","tableau, talend",59,LILLE,2023/07/31
"DATA ENGINEER CLOUD F/H - Système, réseaux, données (H/F)","Descriptif du poste:

Dans le cadre du développement de notre communauté Cloud, vous aurez pour principales missions?d'accompagner nos clients dans leur transformation digitale par la mise en place de projets cloud.



Votre mission sera de :

* Concevoir et développer des outils de traitements et processing de données

* Déploiement, industrialisation et tests de solutions développées,

* Monitoring et analyse de flux de données.

* Rédiger les rapports d'analyse de données, et assurer la présentation au client

* Savoir utiliser les outils d'analyse et de visualisation de données

* Assurer une veille technologique soutenue en lien avec les éditeurs

* Intervenir en tant qu'expert pour conseiller, cadrer et transformer des infrastructures, afin que nos clients puissent garder le contrôle et tirer pleinement parti du cloud



Points forts du poste?: 

* Rejoignez une équipe d'experts et de passionnés en Data 

* Participez à des projets innovants d'envergure nationale et internationale avec de forts enjeux économiques, réglementaires, organisationnels et techniques 

* Fonctions pluridisciplinaires?: Conseil, gestion de projet, développement, formation, Recherche / Innovation, porteur d'offre Cloud. 

* Participer et devenir un véritable pilier à la création et au développement des activités stratégiques de TRIMANE.

Profil recherché:

* Formation ingénieur ou universitaire de niveau Bac+5 ou plus à dominante informatique et mathématiques 

* Expérience minimale de 3 ans réussie en data engineering

* Connaissance des techniques et outils de traitement de la donnée en python, Spark/Hadoop dans un environnement cloud 

* Vous parlez très bien anglais et français vous permettant d'échanger avec des équipes internationales.

* Vous êtes curieux, force de proposition, avec une vraie culture du résultat, vous appréciez le travail en équipe. Vous aimez les défis et êtes passionné par les enjeux techniques à forte valeur ajoutée.",31 - TOULOUSE,Publié le 31 juillet 2023,,,Contrat à durée indéterminée,Expérience exigée de 3 An(s),,[],Cadre,Conseil en systèmes et logiciels informatiques,Trimane,"Fondée en 2005, TRIMANE est un cabinet de conseil et une société de service spécialisée en Data Intelligence (BI et Big Data), notre mission est de créer de la valeur à partir des données disponibles dans les entreprises, en s'appuyant sur des approches algorithmiques innovantes, des méthodologies spécifiques et de nombreuses technologies.



En tant que spécialiste Data, nous sommes reconnus pour le très haut niveau d'expertise de nos consultants et de notre retour d'expé...","Fondée en 2005, TRIMANE est un cabinet de conseil et une société de service spécialisée en Data Intelligence (BI et Big Data), notre mission est de créer de la valeur à partir des données disponibles dans les entreprises, en s'appuyant sur des approches algorithmiques innovantes, des méthodologies spécifiques et de nombreuses technologies.En tant que spécialiste Data, nous sommes reconnus pour le très haut niveau d'expertise de nos consultants et de notre retour d'expé...",,31,TOULOUSE,2023/07/31
Docteur orienté « data science » et « Machine Learning » F/H - Projets scientifiques et techniques (H/F),"Descriptif du poste:

Contexte :
Avec le développement des technologies IT et des méthodologies de tests, il est devenu indispensable de faire recours à l automatisation des tests afin de réduire les temps des recettes et leur coût. Notre objectif est d identifier et d extraire automatiquement les cas de tests à partir des spécifications fonctionnelles des projets de test, d extraire automatiquement les scénarii de test et d identifier les scénarii automatisables.
Au niveau de ses projets, le SogetiLabs applique la méthode Scrum et accorde donc dès le départ beaucoup de confiance et d autonomie à ses équipes de développement qui, comme le prévoit la méthode, sont autonomes et auto-organisées (bien qu étant accompagnées par un Scrum Master en tant que facilitateur et un Product Owner en tant qu interface client). Chaque membre du Lab porte donc son sujet et est le seul garant de son avancement. Il n y pas de Chef de Projet ou de profil Senior pour dire quoi faire ou reprendre les sujets ! Vous l aurez compris, le SogetiLabs est, par ses projets Innovants et/ou de R&D, ses sessions de Veille, ses différents Clusters et son organisation en mode StartUp, l endroit idéal pour poursuivre son développement technologique et monter en compétences sur les sujets émergents comme pour développer ses softs skills.  
 
Missions
 
En collaboration avec des acteurs engagés et prestigieux de la filière, la mission s inscrira, entre autre dans la mise en place d un ensemble d outils d aide à l automatisation de projets de tests Tierce Recette Applicative (TRA) :
       Participer au développement des solutions techniques envisagées afin de résoudre les verrous techniques, technologiques et scientifiques identifiés.
       Proposer un outil d extraction des spécifications fonctionnelles et d automatisation des des cas de test en utilisant les techniques de machine learning, deep learning et NLP.
       Coordonner les travaux des différents intervenants sur le projet.
       Valoriser les travaux qui seront réalisés par la création de POC et la publication d'articles scientifiques
 
Le candidat sera amené à diriger plusieurs initiatives en parallèle avec des équipes composés de doctorant, ingénieur et de stagiaire / alternant.
 

Profil recherché:

Profil
Vous êtes  autonome, passionné et persévérant. Vous aimez trouver des solutions innovantes et élégantes à des problèmes que vous n avez pas encore rencontrés. Nous ne cherchons pas quelqu un qui sait déjà tout mais une personne avec une véritable envie d apprendre, de comprendre et de créer.         
 
·       Premier poste après doctorat ou post doctorat en Informatique / Science des Données /  Intelligence Artificielle /   Mathématiques Appliquées.
·       Compétences et expériences solides en Machine Learning (ML), Deep Learning (DL) et NLP.
·       Expérience en traitement et analyse de données
·       Compétences en Python et framework TensorFlow, PyTorch.
·       Maîtrise de l'anglais (lu, écrit)
·       Capacité de communication avec une équipe large et multidisciplinaire
·       Idéalement des connaissances ou expérience dans le domaine du test logiciel
 
Le poste est basé à Issy-les-Moulineaux",92 - ISSY LES MOULINEAUX,Publié le 31 juillet 2023,,,Contrat à durée indéterminée,Débutant accepté,,[],Cadre,Conseil en systèmes et logiciels informatiques,CAPGEMINI TECHNOLOGY SERVICES,"Le groupe
 
Sogeti fait partie du groupe Capgemini, un leader mondial, responsable et multiculturel, regroupant 360 000 personnes dans près de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie, le Groupe est guidé au quotidien par sa raison d'être : libérer les énergies humaines par la technologie pour un avenir inclusif et durable. Fort de plus de 55 ans d'expérience et d'une grande...","Le groupe Sogeti fait partie du groupe Capgemini, un leader mondial, responsable et multiculturel, regroupant 360 000 personnes dans près de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie, le Groupe est guidé au quotidien par sa raison d'être : libérer les énergies humaines par la technologie pour un avenir inclusif et durable. Fort de plus de 55 ans d'expérience et d'une grande...","tensorflow, pytorch",92,ISSY LES MOULINEAUX,2023/07/31
"RESPONSABLE DE SERVICE EXPOSITION DATA & API F/H - Système, réseaux, données (H/F)","Descriptif du poste:
Vous savez porter vos convictions   Vous souhaitez faire prendre des décisions sur des projets stratégiques pour le Groupe   Vous êtes rigoureux(se), organisé(e)   Vous aimez travailler en équipe  

Alors venez nous rejoindre au sein de la Business Line Santé prévoyance de la DSID.
Nous sommes interlocuteurs des métiers Santé Prévoyance, de manière très transverse, pour défendre les intérêts du Groupe sur les projets stratégiques que nous pilotons.

Nous recherchons un manager qui a envie d'évoluer dans le domaine du Big data :
Vous assurez l'alimentation du modèle assurantiel à partir des données sources des outils de l'originateur Santé Prévoyance.
Vous assurez l'interlocution pour l'exposition des données à partir de l'originateur Santé prévoyance vers les agrégateurs.

En tant que responsable de service :
Vous assurez le management d'une équipe de 5 collaborateurs internes et une dizaine de consultants,
Vous êtes garant(e) de l'organisation des activités, des plannings,
Vous réalisez un reporting régulier de l'activité
Vous réalisez les entretiens d'appréciation et définissez les besoins en formation
Vous informez les collaborateurs sur l'actualité du Groupe et du service et participez au recrutement des nouveaux collaborateurs.
 
Vous structurez l'activité avec un enjeu fort de continuité de service, de documentation et d'homogénéisation des pratiques sur les différents domaines, dans l'interlocution avec les métiers Santé Prévoyance
 
Vous êtes garants de l'application des normes édictées par :les équipes en charge du maintien du socle technologique groupe.
les équipes en charge de la conformité à la réglementation (RSSI, RGPD....)
 
Vous vous assurez de la mise en place du suivi de l'exploitation et du maintien en condition opérationnelle.
 
Vous pilotez l'adhérence des différents projets sur les activités du service (projets de montée de version des technologies socle...).
 
Vous accompagnez l'équipe dans la transformation induite par la trajectoire de plateformisation du Groupe.
 
En tant que product manager :
Vous êtes responsable de l'élaboration de la vision et de la trajectoire d'évolution des produits en collaboration avec les parties prenantes :Participation à la définition des objectifs de la feuille de route stratégique
Construction et évolution du produits
Vous vous assurez de l'alignement de l'ensemble de l'écosystème agile à l'échelle à cette vision

Profil recherché:
Vous êtes à l'aise avec l'univers des produits d'assurance, vous avez la capacité à fédérer, animer et coordonner une équipe, à comprendre les organisations et à les accompagner.
Vous disposez d'une solide expérience dans le domaine du Big data permettant de valoriser une maîtrise technico fonctionnelle des produits d'assurance.
De formation supérieure, vous disposez d'une expérience significative vous ayant permis de développer des compétences dans le pilotage d'activité, dans l'animation et le management opérationnel d'équipe.
Vous avez la capacité de fixer des échéances, des objectifs et de définir des priorités.
Vous êtes à l'aise dans l'utilisation des outils informatiques.

Vous avez une bonne connaissance du domaine de l'assurance Santé/Prévoyance et dans le pilotage des projets en mode agile et cycle en V.

Vous appréciez le travail en équipe et mode collaboratif.
Vous avez de très bonnes capacités d'analyse et de synthèse et aussi d'animation et de participation aux différents comités.
Vos qualités : excellent relationnel, qualités d'écoute, sens du service, disponibilité, pédagogie, adaptabilité.",75 - PARIS 14,Publié le 31 juillet 2023,,,Contrat à durée indéterminée,Expérience exigée de 2 An(s),,[],Cadre,Gestion de fonds,AG2R LA MONDIALE,"Rejoindre AG2R LA MONDIALE, c'est rejoindre un Groupe de près de 15 000 collaborateurs experts en épargne, retraite, prévoyance, santé et engagement social en France, au service de 15 millions d'assurés. Mais pas seulement !  

Chez nous, vous bénéficierez d'un environnement où le bien vivre et le bien travailler ensemble sont considérés comme facteurs de performance. Dans un contexte de forte transformation, vous pourrez contribuer à nos projets et développer vos compétences....","Rejoindre AG2R LA MONDIALE, c'est rejoindre un Groupe de près de 15 000 collaborateurs experts en épargne, retraite, prévoyance, santé et engagement social en France, au service de 15 millions d'assurés. Mais pas seulement !  Chez nous, vous bénéficierez d'un environnement où le bien vivre et le bien travailler ensemble sont considérés comme facteurs de performance. Dans un contexte de forte transformation, vous pourrez contribuer à nos projets et développer vos compétences....",,75,PARIS 14,2023/07/31
"Data Engineer Python F/H - Système, réseaux, données (H/F)","Descriptif du poste:

En tant que Data Engineer, vous travaillez sur une solution numérique pour la maintenance prédictive des outils. Elle consiste en un ensemble de modules Python, d'algorithmes de data science, de workflows Dataiku, de modèles ML et de tableaux de bord PowerBI pour prédire les pannes. Vous devrez architecturer et développer des modules Python et des workflows Dataiku.&nbsp;
Ce poste est disponible en CDI, sur Montpellier (2 jours de TT/semaine) et rémunéré entre 45K et 65K annuel brut selon votre expérience.

Profil recherché:

Diplômé(e) d'études supérieures en informatique, vous justifiez d'au moins 3 ans d'expérience en&nbsp;tant qu'ingénieur de données et en développement back-end avec Python. Vous maîtrisez SQL et Dataiku et la pratique de l'anglais comme langue de travail ne vous pose pas de problème (à l'oral comme à l'écrit). Une familiarité avec les outils DevOps tels que CI/CD, Azure DevOps et une bonne connaissance de MLOps, PowerBi est un plus.

Vous vous reconnaissez dans cette annonce ? N'attendez plus et envoyez nous votre candidature !",34 - MONTPELLIER,Publié le 31 juillet 2023,,,Contrat à durée indéterminée,Expérience exigée de 3 An(s),,[],Cadre,Conseil pour les affaires et autres conseils de gestion,SAS RECHERCHES ET HORIZONS,"Recherches et Horizons est un cabinet de recrutement qui a pour vocation d accompagner ses partenaires dans leur croissance. Nous tâchons de répondre aux problématiques que peuvent rencontrer entreprises et candidats en matière de recrutement. Nous recherchons pour notre partenaire, une entreprise spécialisée dans le domaine de l'Energie, un.e Data Engineer Python F/H.
&nbsp;","Recherches et Horizons est un cabinet de recrutement qui a pour vocation d accompagner ses partenaires dans leur croissance. Nous tâchons de répondre aux problématiques que peuvent rencontrer entreprises et candidats en matière de recrutement. Nous recherchons pour notre partenaire, une entreprise spécialisée dans le domaine de l'Energie, un.e Data Engineer Python F/H.&nbsp;","tableau, dataiku",34,MONTPELLIER,2023/07/31
"Data Scientist F/H - Système, réseaux, données (H/F)","Descriptif du poste:
Talents IT cabinet de recrutement national spécialisé dans les
métiers de l'IT et du Digital, recrute pour un de ses clients un(e)
Data Scientist IT H/F avec une première expérience sur un poste
similaire. 

Notre client, véritable ambassadeur en matière de protection sociale
, aux valeurs fortes est basé dans le 59

 

Rattaché directement au pôle Data vous prenez en charge les missions
suivantes :

	* Recueillir, traiter et transformer les données en fonction des
objectifs fixés.
	* Analyser et modéliser les comportements clients.
	*  Élaborer des prévisionnels afin d'anticiper les évolutions
des données et les tendances.
	* Synthétiser et vulgariser la donnée de façon à les transmettre
aux équipes métier

Profil recherché:
Issu idéalement d'une formation supérieure en informatique, vous
justifiez d'une  expérience réussie sur un poste similaire. 

Vous avez de solides connaissances en data Science, notamment en
algorithmes et machine learning, Vous avez une maitrise des languages
liés au Big Data 

Alors n'hésitez plus ce poste est fait pour vous !

Rémunération 45/50K selon profil

Autres avantages : 

	* TR
	* RTT
	* CSE
	* Mutuelle familiale
	* Télétravail",59 - ROUBAIX,Publié le 31 juillet 2023,,,Contrat à durée indéterminée,Expérience exigée de 2 An(s),,[],Cadre,Conseil pour les affaires et autres conseils de gestion,Talents IT,"L'équipe Talents IT s'engage à être réactive et présente pour répondre à vos demandes. Nos consultants ont pour vocation de vous accompagner dans la recherche de vos futurs experts IT, en CDI et en CDD, quel que soit votre secteur d'activité.","L'équipe Talents IT s'engage à être réactive et présente pour répondre à vos demandes. Nos consultants ont pour vocation de vous accompagner dans la recherche de vos futurs experts IT, en CDI et en CDD, quel que soit votre secteur d'activité.",,59,ROUBAIX,2023/07/31
"Data manager F/H - Système, réseaux, données (H/F)","Descriptif du poste:


Vos principales tâches seront :
* Analyse des données fournies par rapport aux attendus de nos produits
* Aide à la définition des spécifications des données : au choix, soit pour les fournitures de données corrigées, soit pour les corrections de leurs données par nos utilitaires d'intégration de données

Et si vous rejoigniez un éditeur à taille humaine au sein d'Inetum classé dans le top 10 français avec plus de 1400 experts en France et à l'international ?
Inetum Software est l'éditeur de logiciels numéro 1 en France pour le secteur public.
Inetum Solution territoriales accompagne les Collectivités Territoriales depuis plus de 30 ans et se positionne en leader pour la couverture des grands enjeux de gestion des villes, EPCI et Etablissements Publics Locaux : Urbanisme, Eau/Assainissement, Finances, Ressources Humaines, Fiscalité Locale, Elections Politiques.
Intégré(e) à l'agence Inetum progiciels de Dijon, composée de 60 collaborateurs, votre mission consistera à intégrer les diverses données fournies par les clients dans les solutions choisies par les clients parmi la gamme de produits proposée.
Vos principales tâches seront :
* Analyse des données fournies par rapport aux attendus de nos produits
* Aide à la définition des spécifications des données : au choix, soit pour les fournitures de données corrigées, soit pour les corrections de leurs données par nos utilitaires d'intégration de données
* Personnalisation des spécifications d'intégration de données en lien avec les analyses de données et en lien avec les évolutions de projet des clients
* Mise à jour ou Conception de chaque utilitaire d'intégration de données (en collaboration avec notre bureau d'étude chargé du développement de nos solutions logicielles)
* Réalisation des tests et Suivi de ceux réalisés par les utilisateurs
* Correction de chaque utilitaire en fonction des analyses des résultats des tests
* Mise en place des intégrations de données au sein des environnements des clients
* Communication avec les clients sur l'avancée de leurs projets
Environnement technique : Java, Eclipse, Visual Studio Code, DBeaver.
Votre parcours d'intégration débutera par une formation sur nos solutions.
Vous êtes curieux(se) d'en savoir plus sur ce poste ? Postulez dès maintenant

Profil recherché:


Diplômé d'une formation Bac+3 en informatique minimum.
Les compétences requises :
* Bonne compréhension de tout SGBD (principalement PostgreSQL)
* Aisance avec le langage SQL (+ triggers, procédures.)
* Expérience de développement (Java). La maîtrise de GitHub serait un plus.
* Aisance à l'oral / écrit pour communication avec les clients / prestataires et équipe interne
* Être autonome, diplomate avec le sens du service au client, et curieux

Avantages :

Nous vous proposons :
Remboursement transport 60%, carte ticket restaurant, mutuelle, comité d'entreprise, un accord de télétravail pour plus de flexibilité.
Une trajectoire de carrière personnalisée et adaptée à vos souhaits d'évolution grâce à une implantation à l'international (26 pays, 7 Fablab), des formations ciblées et des projets couvrant l'ensemble de la chaîne de valeur IT (+25 filières métiers).
Intégrer un collectif d'experts partageant des valeurs de solidarité et d'excellence
Une culture de la proximité au sein de nos 45 agences en France.",21 - DIJON,Publié le 31 juillet 2023,,,Contrat à durée indéterminée,Expérience exigée de 1 An(s),,[],Cadre,Conseil en systèmes et logiciels informatiques,Inetum,"Nous sommes une ESN agile, un groupe international certifié Top Employer Europe 2023. 

A l'ère de la post-transformation digitale, nous mettons tout en oeuvre pour que chacun de nos 27 000 athlètes du digital puisse se renouveler perpétuellement, en vivant positivement son propre flow digital. 
Chacun de nos talents peut ainsi façonner son parcours de carrière selon ses appétences, entreprendre de manière pragmatique avec ses clients pour un monde à impact positif, innover l...","Nous sommes une ESN agile, un groupe international certifié Top Employer Europe 2023. A l'ère de la post-transformation digitale, nous mettons tout en oeuvre pour que chacun de nos 27 000 athlètes du digital puisse se renouveler perpétuellement, en vivant positivement son propre flow digital. Chacun de nos talents peut ainsi façonner son parcours de carrière selon ses appétences, entreprendre de manière pragmatique avec ses clients pour un monde à impact positif, innover l...","github, postgresql",21,DIJON,2023/07/31
Consultant Power BI - Azure Data factory F/H - Maîtrise d'ouvrage et fonctionnel (H/F),"Descriptif du poste:

Dans le cadre de vos projets vous serez amenés à prendre en charge des tâches de Build & Run de la solution BI. 
Vous travaillerez sur les missions suivantes : 
- Le développement des pipelines d'intégration Azure Data Factory et de déploiement continu (CI/CD) ; 
- Le nettoyage, la transformation, l'ingestion des données; 
- La réalisation et l'accompagnement de l'industrialisation des solutions d'ingestion des données ; 
- La Conception de maquette de restitution de donnée et réalisation des outils de visualisation de donnée en lien avec les utilisateurs finaux 
- En mode Agile : Scrum 

Profil recherché:

Dans le cadre de la croissance de HEXATEAM, nous sommes en quête permanente de nouveaux talents pour renforcer nos équipes. 
Nous cherchons actuellement un profil de Consultant Power BI - Azure Data factory - H/F pour l'un de nos clients en Ile de France.",75 - PARIS 06,Publié le 31 juillet 2023,,,Contrat à durée indéterminée,Expérience exigée de 4 An(s),,[],Cadre,Conseil en systèmes et logiciels informatiques,Hexateam,"Hexateam est un acteur indépendant du conseil et des services en technologies de l'information, spécialisé en e-business, Customer Relationship Management et Business Intelligence.  
Notre mission est d'accompagner nos clients à mettre en œuvre leur stratégie concurrentielle en optimisant leurs organisations et processus métiers et en adaptant leurs systèmes d'information.  
Flexibles, capables de nous adapter rapidement aux contextes de nos clients et aux contraintes des pro...","Hexateam est un acteur indépendant du conseil et des services en technologies de l'information, spécialisé en e-business, Customer Relationship Management et Business Intelligence.  Notre mission est d'accompagner nos clients à mettre en œuvre leur stratégie concurrentielle en optimisant leurs organisations et processus métiers et en adaptant leurs systèmes d'information.  Flexibles, capables de nous adapter rapidement aux contextes de nos clients et aux contraintes des pro...",power bi,75,PARIS 06,2023/07/31
"Chef de projet Data / Data Analyst F/H - Système, réseaux, données (H/F)","Descriptif du poste:


Dalkia a mis en place un écosystème applicatif pour piloter ses activités de maintenance sur l'ensemble de ces
sites en exploitation : bâtiments communaux, résidences, immeubles, hôpitaux, industries.
Dans ce cadre, des milliers de données circulent chaque jour entre nos clients, nos planificateurs, managers et
techniciens.
Par ailleurs, Dalkia a commencé la création d'un DataLake pour répondre au mieux à la multiplication des besoins
d'exploitation de la donnée au sein de l'entreprise.
Volet Projet
- Piloter les projets d'intégration de données du SI Opérations dans la plateforme de l'entreprise (entre les
équipes Data et les équipes métiers du siège et des régions)
- Collecter, instruire et prioriser un backlog des besoins métiers en matière de Data
- Mettre en place une gouvernance des données Maintenance au sein de Dalkia
- Construire une trajectoire de l'exploitation des données Maintenance
Volet technique
- Créer des rapports Tableau de reporting à partir des données du Data Lake ou en Self-Service
- Maintenir les reportings existants, s'assurer de la qualité de la donnée et de la diffusion des rapports
- Travailler en collaboration avec les Data Engineer pour la modélisation des données dans le Data Lake
Volet Animation métier
- Animer des clubs utilisateurs et ateliers avec les régions
- Accompagner les métiers à l'utilisation de Tableau, créer et fournir des supports
- Effectuer des formations
- Communiquer les évolutions et informations importantes
Volet Amélioration continue

Profil recherché:


De formation Bac+5 de type école d'Ingénieur, vous bénéficiez au moins de 5 ans d'expérience sur un poste orienté sur l'analyse de données, la mise en place de reporting et l'animation de ces reportings.
Un bon relationnel, de l'écoute, de la bienveillance et le gout du travail en équipe sont indispensables pour la réussite de votre mission. 
Vous avez un bon esprit d'analyse, de synthèse et de reformulation,
L'envie d'apprendre et la capacité à monter en compétences rapidement sur des sujets nouveaux sont vos leviers de motivation.",92 - COURBEVOIE,Publié le 31 juillet 2023,,,Contrat à durée indéterminée,Débutant accepté,,[],Cadre,Production et distribution de vapeur et d'air conditionné,DALKIA,"Et si vous faisiez équipe avec nous ? Rejoindre Dalkia, c'est plus de sens et d'implication contre le réchauffement climatique ; plus de relations humaines, avec un métier de service animé par l'esprit d'équipe ; plus de technicité, avec des projets ambitieux et innovants fondés sur nos expertises ; plus d'employabilité, avec des parcours diversifiés et individualisés. Rejoindre Dalkia, c'est rejoindre plus qu'une entreprise : un collectif de 19 300 collaborateurs engagés en f...","Et si vous faisiez équipe avec nous ? Rejoindre Dalkia, c'est plus de sens et d'implication contre le réchauffement climatique ; plus de relations humaines, avec un métier de service animé par l'esprit d'équipe ; plus de technicité, avec des projets ambitieux et innovants fondés sur nos expertises ; plus d'employabilité, avec des parcours diversifiés et individualisés. Rejoindre Dalkia, c'est rejoindre plus qu'une entreprise : un collectif de 19 300 collaborateurs engagés en f...",tableau,92,COURBEVOIE,2023/07/31
Consultant(e) Transformation Digitale - Pôle ECM / Data Management F/H - Marketing (H/F),"Descriptif du poste:
Prêt.e à rejoindre une équipe digitale d'élite à Lyon  

Notre pôle ECM (Data Management, GED, DAM, Archivage) recrute 3 consultants technico-fonctionnels de niveau junior à confirmé.

Viveris a développé une expertise à Lyon dans l'intégration de solutions de transformation digitale autour de la gouvernance de l'information et du data management.

Intégré(e) à cette équipe, vous interviendrez dans le cadre de projets d'intégration et d'optimisation, avec un large spectre de responsabilités :
* Techniques : conception, développement web
* Fonctionnelles : analyse fonctionnelle et accompagnement équipes client
* Coordination et Animation de projets

Profil recherché:
Ces postes s'adressent tout autant à des ingénieurs techniques se destinant à l'expertise qu'à des consultants visant une évolution fonctionnelle ou en chefferie de projets, à court ou moyen-terme. 

Au-delà des compétences, c'est le potentiel que nous recherchons ! 

Contactez-nous pour en savoir plus !",69 - VILLEURBANNE,Publié le 31 juillet 2023,,,Contrat à durée indéterminée,Expérience exigée de 5 An(s),,[],Cadre,Conseil en systèmes et logiciels informatiques,VIVERIS,"Viveris et un groupe de conseil et d'ingénierie spécialisé dans la conduite et la réalisation de projets dans les domaines de l'informatique et de l'électronique.

S'engager avec Viveris, c'est l'assurance de relever des défis techniques et humains tout en travaillant sur des projets innovants dans un environnement collaboratif et solidaire.","Viveris et un groupe de conseil et d'ingénierie spécialisé dans la conduite et la réalisation de projets dans les domaines de l'informatique et de l'électronique.S'engager avec Viveris, c'est l'assurance de relever des défis techniques et humains tout en travaillant sur des projets innovants dans un environnement collaboratif et solidaire.",,69,VILLEURBANNE,2023/07/31
